no,filename,kelas_asli,hasil_klasifikasi,expected_count,detected_count,classification,status,process_time
1,31.png,Ada Wajah,Ada Wajah,1,1,TP,Benar,50
2,64.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,36
3,22.png,Ada Wajah,Ada Wajah,1,1,TP,Benar,20
4,58.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,37
5,99.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,89
6,74.JPG,Ada Wajah,Ada Wajah,1,3,TP,Benar,96
7,13.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,91
8,14.png,Ada Wajah,Ada Wajah,1,1,TP,Benar,16
9,61.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,97
10,28.png,Ada Wajah,Ada Wajah,1,1,TP,Benar,18
